year,iso,countryyearcode,"School age population, primary education, both sexes (number)","School age population, primary education, female (number)","School age population, primary education, male (number)","School age population, lower secondary education, both sexes (number)","School age population, lower secondary education, female (number)","School age population, lower secondary education, male (number)","School age population, upper secondary education, both sexes (number)","School age population, upper secondary education, female (number)","School age population, upper secondary education, male (number)"
1985,BTN,BTN1985,76647,37969,38678,32734,16226,16508,19864,9848,10016
1986,BTN,BTN1986,90893,45024,45869,42828,21230,21598,19108,9468,9640
1987,BTN,BTN1987,93958,46533,47425,44468,22040,22428,19877,9849,10028
1988,BTN,BTN1988,96837,47948,48889,46063,22825,23238,20638,10226,10412
1989,BTN,BTN1989,99125,49073,50052,47454,23508,23946,21324,10565,10759
1990,BTN,BTN1990,100570,49791,50779,48555,24051,24504,21876,10839,11037
1991,BTN,BTN1991,101217,50100,51117,48691,24117,24574,21901,10852,11049
1992,BTN,BTN1992,101536,50244,51292,48620,24080,24540,21818,10811,11007
1993,BTN,BTN1993,101853,50387,51466,48539,24039,24500,21748,10778,10970
1994,BTN,BTN1994,102538,50724,51814,48707,24128,24579,21784,10797,10987
1995,BTN,BTN1995,103775,51347,52428,49291,24426,24865,22001,10910,11091
1996,BTN,BTN1996,105394,52187,53207,50485,25037,25448,22613,11222,11391
1997,BTN,BTN1997,107343,53201,54142,52067,25848,26219,23384,11617,11767
1998,BTN,BTN1998,109275,54182,55093,53945,26794,27151,24270,12064,12206
1999,BTN,BTN1999,110818,54897,55921,55955,27768,28187,25194,12512,12682
2000,BTN,BTN2000,111703,55182,56521,57949,28677,29272,26122,12939,13183
2001,BTN,BTN2001,112176,55472,56704,59908,29536,30372,27235,13333,13902
2002,BTN,BTN2002,112160,55430,56730,61503,30272,31231,28345,13764,14581
2003,BTN,BTN2003,111669,55117,56552,62664,30833,31831,29357,14207,15150
2004,BTN,BTN2004,110685,54593,56092,63377,31207,32170,30231,14662,15569
2005,BTN,BTN2005,109223,53913,55310,63694,31421,32273,30903,15095,15808
2006,BTN,BTN2006,108111,53210,54901,63878,31380,32498,31285,15289,15996
2007,BTN,BTN2007,106691,52479,54212,63851,31308,32543,31492,15367,16125
2008,BTN,BTN2008,105108,51743,53365,63600,31179,32421,31615,15412,16203
2009,BTN,BTN2009,103507,51018,52489,63164,30990,32174,31742,15473,16269
2010,BTN,BTN2010,101991,50306,51685,62600,30755,31845,31846,15526,16320
2011,BTN,BTN2011,100276,49467,50809,61656,30292,31364,31681,15401,16280
2012,BTN,BTN2012,98815,48742,50073,60755,29886,30869,31399,15246,16153
2013,BTN,BTN2013,97550,48107,49443,59902,29510,30392,31055,15094,15961
2014,BTN,BTN2014,96388,47517,48871,59072,29127,29945,30662,14953,15709
2015,BTN,BTN2015,95258,46937,48321,58235,28711,29524,30223,14810,15413
2016,BTN,BTN2016,94149,46388,47761,57373,28194,29179,29794,14540,15254
2017,BTN,BTN2017,92944,45782,47162,56503,27759,28744,29358,14265,15093
2018,BTN,BTN2018,91640,45123,46517,55687,27397,28290,28914,14026,14888
2019,BTN,BTN2019,90306,44455,45851,54985,27089,27896,28449,13840,14609
2020,BTN,BTN2020,88993,43810,45183,54429,26832,27597,28010,13712,14298
2021,BTN,BTN2021,87787,43197,44590,53819,26434,27385,27614,13485,14129
2022,BTN,BTN2022,87073,42839,44234,53180,26104,27076,27294,13285,14009
1980,BOL,BOL1980,857215,422811,434404,257206,127017,130189,473725,233982,239743
1981,BOL,BOL1981,876124,431869,444255,261955,129301,132654,482287,238178,244109
1982,BOL,BOL1982,896372,441591,454781,267128,131777,135351,491899,242833,249066
1983,BOL,BOL1983,916734,451401,465333,273034,134606,138428,502423,247883,254540
1984,BOL,BOL1984,935817,460641,475176,279661,137787,141874,513801,253325,260476
1985,BOL,BOL1985,952313,468690,483623,286580,141120,145460,526137,259232,266905
1986,BOL,BOL1986,971586,478021,493565,292373,143932,148441,537373,264713,272660
1987,BOL,BOL1987,990701,487246,503455,298358,146842,151516,549291,270489,278802
1988,BOL,BOL1988,1008674,495897,512777,304859,150009,154850,561787,276530,285257
1989,BOL,BOL1989,1024661,503574,521087,312112,153549,158563,574955,282904,292051
1990,BOL,BOL1990,1038344,510146,528198,319557,157187,162370,588980,289726,299254
1991,BOL,BOL1991,1055236,518204,537032,324877,159759,165118,601708,296016,305692
1992,BOL,BOL1992,1075031,527707,547324,329723,162068,167655,615219,302637,312582
1993,BOL,BOL1993,1096697,538177,558520,334879,164526,170353,628632,309159,319473
1994,BOL,BOL1994,1118898,548988,569910,340448,167194,173254,641279,315271,326008
1995,BOL,BOL1995,1139843,559284,580559,346216,169976,176240,653034,320943,332091
1996,BOL,BOL1996,1162393,570371,592022,352654,173153,179501,662764,325894,336870
1997,BOL,BOL1997,1183879,580923,602956,360094,176835,183259,673457,331203,342254
1998,BOL,BOL1998,1203708,590627,613081,367821,180666,187155,685716,337201,348515
1999,BOL,BOL1999,1221346,599185,622161,375541,184477,191064,699475,343898,355577
2000,BOL,BOL2000,1236509,606443,630066,383050,188161,194889,714365,351148,363217
2001,BOL,BOL2001,1253445,614458,638987,388927,190954,197973,727453,357434,370019
2002,BOL,BOL2002,1270755,622681,648074,394605,193609,200996,740753,363805,376948
2003,BOL,BOL2003,1287704,630788,656916,400532,196375,204157,753855,370033,383822
2004,BOL,BOL2004,1303532,638459,665073,406826,199330,207496,766826,376169,390657
2005,BOL,BOL2005,1317511,645365,672146,413199,202348,210851,779885,382343,397542
2006,BOL,BOL2006,1331391,652169,679222,418737,205034,213703,791840,388120,403720
2007,BOL,BOL2007,1345332,658995,686337,424143,207699,216444,804339,394123,410216
2008,BOL,BOL2008,1358805,665584,693221,429443,210335,219108,817006,400218,416788
2009,BOL,BOL2009,1371148,671608,699540,434558,212887,221671,829346,406203,423143
2010,BOL,BOL2010,1381570,676688,704882,439384,215302,224082,841030,411938,429092
2011,BOL,BOL2011,1391043,681177,709866,444034,217590,226444,850929,416974,433955
2012,BOL,BOL2012,1397887,684388,713499,448631,219811,228820,860606,421841,438765
2013,BOL,BOL2013,1401944,686259,715685,452935,221878,231057,870321,426630,443691
2014,BOL,BOL2014,1403283,686836,716447,457070,223861,233209,880072,431369,448703
2015,BOL,BOL2015,1402569,686451,716118,460766,225630,235136,889735,436028,453707
2016,BOL,BOL2016,1402347,686271,716076,462484,226456,236028,897610,439934,457676
2017,BOL,BOL2017,1403278,686650,716628,463090,226734,236356,905223,443634,461589
2018,BOL,BOL2018,1405080,687464,717616,463325,226830,236495,911708,446723,464985
2019,BOL,BOL2019,1407263,688488,718775,463431,226858,236573,916359,448892,467467
2020,BOL,BOL2020,1408980,689319,719661,463365,226803,236562,918992,450081,468911
2021,BOL,BOL2021,1410929,690244,720685,463891,227053,236838,919737,450520,469217
2022,BOL,BOL2022,1411310,690421,720889,464948,227551,237397,919893,450600,469293
1980,BIH,BIH1980,325824,157626,168198,334274,161616,172658,362110,175037,187073
1981,BIH,BIH1981,325568,157622,167946,328612,159006,169606,356754,172579,184175
1982,BIH,BIH1982,324023,156866,167157,326683,158059,168624,348189,168407,179782
1983,BIH,BIH1983,320772,155330,165442,326400,157943,168457,338823,163873,174950
1984,BIH,BIH1984,315685,152943,162742,326430,158004,168426,331404,160328,171076
1985,BIH,BIH1985,309661,150111,159550,325465,157588,167877,326861,158180,168681
1986,BIH,BIH1986,304045,147470,156575,322838,156367,166471,325152,157391,167761
1987,BIH,BIH1987,299899,145456,154443,317061,153553,163508,322785,156210,166575
1988,BIH,BIH1988,297847,144461,153386,310977,150581,160396,321318,155461,165857
1989,BIH,BIH1989,297104,144131,152973,304529,147448,157081,318159,153914,164245
1990,BIH,BIH1990,295846,143601,152245,297680,144170,153510,311886,150912,160974
1991,BIH,BIH1991,292203,141966,150237,290502,140814,149688,302076,146261,155815
1992,BIH,BIH1992,281431,136785,144646,279734,135724,144010,286996,139250,147746
1993,BIH,BIH1993,268648,130636,138012,267315,129860,137455,270079,131257,138822
1994,BIH,BIH1994,255569,124319,131250,254099,123603,130496,253875,123514,130361
1995,BIH,BIH1995,244068,118708,125360,241893,117755,124138,240137,116882,123255
1996,BIH,BIH1996,235266,114340,120926,232435,113120,119315,229559,111711,117848
1997,BIH,BIH1997,229958,111830,118128,229665,111826,117839,225431,109794,115637
1998,BIH,BIH1998,224861,109359,115502,229082,111507,117575,223828,109055,114773
1999,BIH,BIH1999,,,,,,,,,
2000,BIH,BIH2000,,,,,,,,,
2001,BIH,BIH2001,,,,,,,,,
2002,BIH,BIH2002,,,,,,,,,
2003,BIH,BIH2003,,,,,,,,,
2004,BIH,BIH2004,,,,,,,,,
2005,BIH,BIH2005,,,,,,,,,
2006,BIH,BIH2006,,,,,,,,,
2007,BIH,BIH2007,,,,,,,,,
2008,BIH,BIH2008,,,,,,,,,
2009,BIH,BIH2009,,,,,,,,,
2010,BIH,BIH2010,,,,,,,,,
2011,BIH,BIH2011,,,,,,,,,
2012,BIH,BIH2012,,,,,,,,,
2013,BIH,BIH2013,,,,,,,,,
2014,BIH,BIH2014,,,,,,,,,
2015,BIH,BIH2015,,,,,,,,,
2016,BIH,BIH2016,,,,,,,,,
2017,BIH,BIH2017,,,,,,,,,
2018,BIH,BIH2018,,,,,,,,,
2019,BIH,BIH2019,,,,,,,142828,69806,73022
2020,BIH,BIH2020,,,,,,,132561,64991,67570
2021,BIH,BIH2021,,,,,,,128368,63014,65354
2022,BIH,BIH2022,,,,,,,129918,63746,66172
1980,BWA,BWA1980,186977,93477,93500,44887,22981,21906,60119,31430,28689
1981,BWA,BWA1981,186656,93536,93120,44813,23012,21801,59939,31440,28499
1982,BWA,BWA1982,192889,96438,96451,46685,23839,22846,62570,32598,29972
1983,BWA,BWA1983,199300,99401,99899,48474,24615,23859,65356,33796,31560
1984,BWA,BWA1984,206278,102677,103601,50234,25384,24850,68328,35084,33244
1985,BWA,BWA1985,213995,106399,107596,52107,26221,25886,71436,36458,34978
1986,BWA,BWA1986,222181,110863,111318,79701,40373,39328,48394,24871,23523
1987,BWA,BWA1987,230961,115503,115458,83273,42333,40940,50380,25990,24390
1988,BWA,BWA1988,239812,120042,119770,87268,44490,42778,52716,27280,25436
1989,BWA,BWA1989,248097,124151,123946,61768,31469,30299,84715,43779,40936
1990,BWA,BWA1990,255341,127603,127738,63944,32586,31358,88626,45841,42785
1991,BWA,BWA1991,263385,131390,131995,65968,33535,32433,91945,47456,44489
1992,BWA,BWA1992,269996,134488,135508,67903,34410,33493,94859,48827,46032
1993,BWA,BWA1993,275003,136819,138184,69966,35333,34633,97563,50036,47527
1994,BWA,BWA1994,278674,138505,140169,72168,36324,35844,100362,51240,49122
1995,BWA,BWA1995,284083,140957,143126,76442,38193,38249,106618,53858,52760
1996,BWA,BWA1996,286263,142160,144103,78448,39167,39281,109910,55503,54407
1997,BWA,BWA1997,288430,143282,145148,79991,39911,40080,113451,57202,56249
1998,BWA,BWA1998,290626,144351,146275,120808,60335,60473,76957,38809,38148
1999,BWA,BWA1999,292450,145204,147246,121858,60850,61008,79122,39777,39345
2000,BWA,BWA2000,293659,145751,147908,122207,61025,61182,80503,40388,40115
2001,BWA,BWA2001,295691,146710,148981,122477,61111,61366,80937,40571,40366
2002,BWA,BWA2002,296654,147198,149456,122770,61202,61568,81002,40582,40420
2003,BWA,BWA2003,296710,147263,149447,123335,61432,61903,80994,40530,40464
2004,BWA,BWA2004,296421,147130,149291,124199,61822,62377,81115,40516,40599
2005,BWA,BWA2005,296172,146960,149212,125332,62352,62980,81611,40685,40926
2006,BWA,BWA2006,296424,146980,149444,126054,62690,63364,82075,40907,41168
2007,BWA,BWA2007,298282,147739,150543,126697,62932,63765,82823,41244,41579
2008,BWA,BWA2008,301605,149250,152355,126813,62917,63896,83681,41622,42059
2009,BWA,BWA2009,305706,151285,154421,126351,62685,63666,84320,41912,42408
2010,BWA,BWA2010,310074,153651,156423,125408,62321,63087,84276,41922,42354
2011,BWA,BWA2011,315010,155811,159199,124322,61733,62589,83288,41437,41851
2012,BWA,BWA2012,319592,158021,161571,123833,61463,62370,82082,40865,41217
2013,BWA,BWA2013,323867,160204,163663,124503,61768,62735,80973,40321,40652
2014,BWA,BWA2014,328488,162507,165981,126329,62612,63717,80389,39978,40411
2015,BWA,BWA2015,333808,164981,168827,129095,63861,65234,80946,40139,40807
2016,BWA,BWA2016,338408,167525,170883,131889,65309,66580,82587,40948,41639
2017,BWA,BWA2017,344132,170422,173710,134864,66782,68082,84750,41989,42761
2018,BWA,BWA2018,350637,173571,177066,137740,68157,69583,87067,43089,43978
2019,BWA,BWA2019,357186,176705,180481,140400,69420,70980,89343,44175,45168
2020,BWA,BWA2020,363218,179623,183595,142814,70589,72225,91294,45116,46178
2021,BWA,BWA2021,368907,182403,186504,145402,71857,73545,93082,45976,47106
2022,BWA,BWA2022,373327,184583,188744,147997,73151,74846,94696,46768,47928
1980,BRA,BRA1980,,,,,,,,,
1981,BRA,BRA1981,,,,,,,,,
1982,BRA,BRA1982,,,,,,,,,
1983,BRA,BRA1983,,,,,,,,,
1984,BRA,BRA1984,,,,,,,,,
1985,BRA,BRA1985,,,,,,,,,
1986,BRA,BRA1986,,,,,,,,,
1987,BRA,BRA1987,,,,,,,,,
1988,BRA,BRA1988,,,,,,,,,
1989,BRA,BRA1989,,,,,,,,,
1990,BRA,BRA1990,,,,,,,,,
1991,BRA,BRA1991,,,,,,,,,
1992,BRA,BRA1992,,,,,,,,,
1993,BRA,BRA1993,,,,,,,,,
1994,BRA,BRA1994,,,,,,,,,
1995,BRA,BRA1995,,,,,,,,,
1996,BRA,BRA1996,,,,,,,,,
1997,BRA,BRA1997,,,,,,,,,
1998,BRA,BRA1998,,,,,,,,,
1999,BRA,BRA1999,12640905,6130813,6510092,13736096,6856694,6879402,10439179,5160462,5278717
2000,BRA,BRA2000,,,,,,,,,
2001,BRA,BRA2001,13083272,6457528,6625744,13858731,6859198,6999533,10463419,5220058,5243361
2002,BRA,BRA2002,13199400,6536197,6663203,13776123,6827831,6948292,10578985,5275135,5303850
2003,BRA,BRA2003,13461305,6615383,6845922,13378617,6552309,6826308,10762828,5304763,5458065
2004,BRA,BRA2004,14195761,6945414,7250347,13676325,6703731,6972594,10896159,5372785,5523374
2005,BRA,BRA2005,14003304,6875955,7127349,13739353,6718981,7020372,10806628,5365067,5441561
2006,BRA,BRA2006,,,,,,,,,
2007,BRA,BRA2007,14039719,6803185,7236534,14347731,7031798,7315933,10264931,4985888,5279043
2008,BRA,BRA2008,13488628,6600678,6887950,14158965,6906661,7252304,10288554,5009560,5278994
2009,BRA,BRA2009,13305276,6426015,6879261,14129259,6882875,7246384,10302361,5054443,5247918
2010,BRA,BRA2010,,,,,,,,,
2011,BRA,BRA2011,15410451,7585947,7824504,14034011,6892149,7141862,10528848,5145125,5383723
2012,BRA,BRA2012,15398497,7505628,7892869,13846770,6826561,7020209,10680192,5260397,5419795
2013,BRA,BRA2013,15244597,7484745,7759852,13406918,6517218,6889700,10536439,5248414,5288025
2014,BRA,BRA2014,15075009,7419274,7655735,13299544,6493459,6806085,10303340,5036676,5266664
2015,BRA,BRA2015,14932515,7319399,7613116,12811115,6273385,6537730,10476304,5108997,5367307
2016,BRA,BRA2016,14820601,7254807,7565794,12470135,6113670,6356465,10478276,5112495,5365781
2017,BRA,BRA2017,14668091,7138879,7529212,12331324,6030261,6301063,10110032,4960832,5149200
2018,BRA,BRA2018,14685536,7156650,7528886,12108157,5956688,6151469,9665527,4717772,4947755
2019,BRA,BRA2019,14608209,7146128,7462081,11986882,5846396,6140486,9415364,4613226,4802138
2020,BRA,BRA2020,14565756,7192944,7372812,11904151,5772383,6131768,9380006,4594745,4785261
2021,BRA,BRA2021,,,,,,,,,
2022,BRA,BRA2022,,,,,,,,,
1980,VGB,VGB1980,1846,902,944,770,375,395,503,239,264
1981,VGB,VGB1981,1844,898,946,763,377,386,509,244,265
1982,VGB,VGB1982,1815,882,933,779,387,392,533,258,275
1983,VGB,VGB1983,1782,865,917,786,391,395,545,268,277
1984,VGB,VGB1984,1751,851,900,788,392,396,549,273,276
1985,VGB,VGB1985,1733,842,891,783,386,397,548,275,273
1986,VGB,VGB1986,1733,842,891,770,379,391,548,274,274
1987,VGB,VGB1987,1755,857,898,733,359,374,546,272,274
1988,VGB,VGB1988,1800,880,920,703,344,359,518,256,262
1989,VGB,VGB1989,1851,903,948,699,345,354,471,232,239
1990,VGB,VGB1990,1887,919,968,724,359,365,434,213,221
1991,VGB,VGB1991,1896,917,979,765,382,383,430,213,217
1992,VGB,VGB1992,1946,936,1010,816,406,410,472,234,238
1993,VGB,VGB1993,2008,961,1047,838,413,425,517,256,261
1994,VGB,VGB1994,2077,994,1083,839,408,431,557,276,281
1995,VGB,VGB1995,2152,1036,1116,829,399,430,576,285,291
1996,VGB,VGB1996,2224,1083,1141,821,393,428,571,280,291
1997,VGB,VGB1997,2320,1137,1183,837,400,437,560,271,289
1998,VGB,VGB1998,2403,1185,1218,868,419,449,556,268,288
1999,VGB,VGB1999,2476,1226,1250,908,444,464,561,270,291
2000,VGB,VGB2000,2551,1266,1285,953,471,482,579,281,298
2001,VGB,VGB2001,2626,1304,1322,999,502,497,608,299,309
2002,VGB,VGB2002,2582,1283,1299,998,509,489,629,315,314
2003,VGB,VGB2003,2558,1266,1292,990,507,483,634,323,311
2004,VGB,VGB2004,2554,1262,1292,986,504,482,625,324,301
2005,VGB,VGB2005,2580,1273,1307,989,503,486,615,322,293
2006,VGB,VGB2006,2636,1299,1337,997,504,493,615,321,294
2007,VGB,VGB2007,2706,1333,1373,1036,521,515,643,334,309
2008,VGB,VGB2008,2784,1373,1411,1080,540,540,669,344,325
2009,VGB,VGB2009,2866,1411,1455,1122,561,561,694,352,342
2010,VGB,VGB2010,2947,1450,1497,1161,579,582,716,360,356
2011,VGB,VGB2011,3033,1489,1544,1196,594,602,736,369,367
2012,VGB,VGB2012,3055,1499,1556,1249,618,631,774,387,387
2013,VGB,VGB2013,3022,1478,1544,1286,636,650,806,401,405
2014,VGB,VGB2014,2943,1432,1511,1310,646,664,832,412,420
2015,VGB,VGB2015,2833,1370,1463,1326,653,673,852,421,431
2016,VGB,VGB2016,2707,1301,1406,1335,657,678,868,428,440
2017,VGB,VGB2017,2588,1242,1346,1335,655,680,1319,650,669
2018,VGB,VGB2018,2466,1180,1286,,,,1342,660,682
2019,VGB,VGB2019,2342,1122,1220,,,,,,
2020,VGB,VGB2020,2222,1068,1154,1226,591,635,,,
2021,VGB,VGB2021,2111,1022,1089,1174,563,611,,,
2022,VGB,VGB2022,2026,985,1041,1121,535,586,1285,624,661
1980,BRN,BRN1980,28923,14153,14770,20438,10057,10381,8120,3837,4283
1981,BRN,BRN1981,30093,14595,15498,20880,10321,10559,8053,3837,4216
1982,BRN,BRN1982,31115,15038,16077,21410,10610,10800,8107,3912,4195
1983,BRN,BRN1983,31979,15463,16516,22054,10932,11122,8196,4009,4187
1984,BRN,BRN1984,32703,15858,16845,22860,11288,11572,8269,4098,4171
1985,BRN,BRN1985,33340,16221,17119,23793,11665,12128,8385,4194,4191
1986,BRN,BRN1986,33264,16205,17059,24471,11917,12554,8925,4461,4464
1987,BRN,BRN1987,33283,16216,17067,24682,11961,12721,9348,4634,4714
1988,BRN,BRN1988,33437,16283,17154,24617,11885,12732,9556,4689,4867
1989,BRN,BRN1989,33755,16430,17325,24462,11791,12671,9526,4626,4900
1990,BRN,BRN1990,34254,16675,17579,24369,11749,12620,9301,4473,4828
1991,BRN,BRN1991,35045,17031,18014,25421,12320,13101,9689,4651,5038
1992,BRN,BRN1992,35688,17290,18398,26203,12748,13455,10111,4871,5240
1993,BRN,BRN1993,36250,17507,18743,26761,13051,13710,10457,5075,5382
1994,BRN,BRN1994,36819,17757,19062,27165,13255,13910,10660,5222,5438
1995,BRN,BRN1995,37475,18098,19377,27472,13394,14078,10754,5327,5427
1996,BRN,BRN1996,38465,18624,19841,28020,13687,14333,11122,5603,5519
1997,BRN,BRN1997,39457,19174,20283,28409,13890,14519,11387,5783,5604
1998,BRN,BRN1998,40341,19670,20671,17680,8617,9063,22643,11319,11324
1999,BRN,BRN1999,40974,20000,20974,18300,8957,9343,22579,11216,11363
2000,BRN,BRN2000,41230,20083,21147,18964,9290,9674,22630,11155,11475
2001,BRN,BRN2001,41453,20224,21229,19422,9579,9843,24059,11894,12165
2002,BRN,BRN2002,41668,20315,21353,19579,9673,9906,25130,12491,12639
2003,BRN,BRN2003,41790,20350,21440,19718,9708,10010,25569,12758,12811
2004,BRN,BRN2004,41768,20347,21421,19953,9745,10208,25484,12736,12748
2005,BRN,BRN2005,41591,20320,21271,20218,9776,10442,25233,12587,12646
2006,BRN,BRN2006,41781,20427,21354,20634,9967,10667,26458,13009,13449
2007,BRN,BRN2007,41912,20442,21470,20778,10070,10708,27422,13358,14064
2008,BRN,BRN2008,41929,20374,21555,20905,10145,10760,27864,13535,14329
2009,BRN,BRN2009,41788,20243,21545,21121,10211,10910,27878,13565,14313
2010,BRN,BRN2010,41500,20089,21411,14314,6851,7463,34815,16942,17873
2011,BRN,BRN2011,40974,19883,21091,14309,6826,7483,34903,16855,18048
2012,BRN,BRN2012,40358,19618,20740,14161,6769,7392,35146,16830,18316
2013,BRN,BRN2013,39666,19297,20369,13976,6711,7265,35339,16818,18521
2014,BRN,BRN2014,38939,18937,20002,13840,6682,7158,35370,16794,18576
2015,BRN,BRN2015,38281,18595,19686,13714,6665,7049,35292,16774,18518
2016,BRN,BRN2016,37780,18310,19470,13459,6557,6902,35012,16720,18292
2017,BRN,BRN2017,37775,18283,19492,13158,6406,6752,34685,16669,18016
2018,BRN,BRN2018,38266,18506,19760,12859,6251,6608,34293,16580,17713
2019,BRN,BRN2019,39197,18954,20243,12534,6084,6450,33808,16411,17397
2020,BRN,BRN2020,40329,19507,20822,12246,5936,6310,33187,16147,17040
2021,BRN,BRN2021,41250,19954,21296,12346,5977,6369,32505,15819,16686
2022,BRN,BRN2022,41615,20137,21478,12743,6167,6576,31787,15450,16337
1980,BGR,BGR1980,514925,250183,264742,497944,241931,256013,374633,182296,192337
1981,BGR,BGR1981,520043,252718,267325,497865,241816,256049,373412,181628,191784
1982,BGR,BGR1982,526057,255725,270332,499945,242909,257036,371066,180576,190490
1983,BGR,BGR1983,532146,258786,273360,504824,245364,259460,369449,179831,189618
1984,BGR,BGR1984,537501,261522,275979,511559,248728,262831,368895,179577,189318
1985,BGR,BGR1985,541070,263417,277653,518677,252280,266397,369935,180083,189852
1986,BGR,BGR1986,542057,264061,277996,524926,255412,269514,373014,181599,191415
1987,BGR,BGR1987,540327,263300,277027,530168,258167,272001,377190,183759,193431
1988,BGR,BGR1988,533985,260185,273800,533097,259758,273339,381805,186129,195676
1989,BGR,BGR1989,522212,254316,267896,533612,260119,273493,386070,188311,197759
1990,BGR,BGR1990,505781,246096,259685,531692,259223,272469,389476,190057,199419
1991,BGR,BGR1991,487146,236793,250353,526387,256587,269800,391043,190873,200170
1992,BGR,BGR1992,469784,228235,241549,514847,250796,264051,388115,189473,198642
1993,BGR,BGR1993,454774,220934,233840,500006,243349,256657,385288,188041,197247
1994,BGR,BGR1994,443514,215600,227914,482656,234674,247982,382044,186316,195728
1995,BGR,BGR1995,435818,212113,223705,464719,225740,238979,376597,183436,193161
1996,BGR,BGR1996,429212,209182,220030,449050,217982,231068,367672,178832,188840
1997,BGR,BGR1997,422069,206034,216035,438360,212923,225437,356663,173409,183254
1998,BGR,BGR1998,412428,201528,210900,431827,209975,221852,344257,167257,177000
1999,BGR,BGR1999,398457,194708,203749,428644,208740,219904,332629,161472,171157
2000,BGR,BGR2000,379759,185378,194381,426343,207946,218397,323833,157138,166695
2001,BGR,BGR2001,358293,174582,183711,421351,205737,215614,319670,155201,164469
2002,BGR,BGR2002,338126,164558,173568,409822,200125,209697,317690,154391,163299
2003,BGR,BGR2003,318268,154756,163512,393620,192094,201526,421610,204971,216639
2004,BGR,BGR2004,298897,145281,153616,374183,182385,191798,419905,204419,215486
2005,BGR,BGR2005,280593,136408,144185,353714,172148,181566,414699,202046,212653
2006,BGR,BGR2006,264021,128408,135613,333709,162199,171510,404545,197099,207446
2007,BGR,BGR2007,250443,121822,128621,313709,152446,161263,388149,189051,199098
2008,BGR,BGR2008,241294,117331,123963,294635,143180,151455,368783,179452,189331
2009,BGR,BGR2009,237952,115626,122326,276529,134392,142137,348694,169503,179191
2010,BGR,BGR2010,240319,116684,123635,260116,126408,133708,329491,160078,169413
2011,BGR,BGR2011,246258,119501,126757,247282,120141,127141,310932,151041,159891
2012,BGR,BGR2012,251544,122022,129522,239748,116408,123340,292257,141886,150371
2013,BGR,BGR2013,258707,125496,133211,237869,115436,122433,274258,133103,141155
2014,BGR,BGR2014,267778,129949,137829,240058,116448,123610,258185,125282,132903
2015,BGR,BGR2015,277917,134965,142952,244385,118512,125873,245873,119289,126584
2016,BGR,BGR2016,287615,139781,147834,249977,121223,128754,238688,115781,122907
2017,BGR,BGR2017,296084,143966,152118,257939,125067,132872,236631,114668,121963
2018,BGR,BGR2018,300467,146159,154308,267531,129770,137761,238212,115328,122884
2019,BGR,BGR2019,298865,145411,153454,278439,135168,143271,242119,117146,124973
2020,BGR,BGR2020,291419,141769,149650,289351,140594,148757,247813,119877,127936
2021,BGR,BGR2021,280848,136569,144279,297415,144612,152803,255811,123782,132029
2022,BGR,BGR2022,272381,132429,139952,298878,145352,153526,265350,128475,136875
1980,BFA,BFA1980,1068865,526877,541988,607266,299723,307543,403587,200334,203253
1981,BFA,BFA1981,1090654,537561,553093,626666,309152,317514,415055,205773,209282
1982,BFA,BFA1982,1115671,550135,565536,640877,316486,324391,422924,209874,213050
1983,BFA,BFA1983,1147676,565982,581694,657096,324589,332507,432889,214964,217925
1984,BFA,BFA1984,1185524,584563,600961,674256,332999,341257,445176,221084,224092
1985,BFA,BFA1985,1226170,604411,621759,692124,341667,350457,459752,228157,231595
1986,BFA,BFA1986,1266558,624060,642498,711124,350838,360286,475578,235679,239899
1987,BFA,BFA1987,1310719,645949,664770,726255,358553,367702,487125,241497,245628
1988,BFA,BFA1988,1358697,669550,689147,745547,368104,377443,498289,247099,251190
1989,BFA,BFA1989,1407447,693403,714044,769156,379625,389531,510142,252945,257197
1990,BFA,BFA1990,1454179,716177,738002,797128,393190,403938,523584,259424,264160
1991,BFA,BFA1991,1495758,736378,759380,829125,408672,420453,539325,266890,272435
1992,BFA,BFA1992,1540068,758268,781800,857513,422783,434730,553889,274127,279762
1993,BFA,BFA1993,1585959,780808,805151,886896,437209,449687,571950,283046,288904
1994,BFA,BFA1994,1631570,803136,828434,916851,451806,465045,593249,293471,299778
1995,BFA,BFA1995,1674230,824010,850220,947746,466815,480931,617020,304990,312030
1996,BFA,BFA1996,1711014,842058,868956,980398,482679,497719,641940,316974,324966
1997,BFA,BFA1997,1750798,861871,888927,1007574,496262,511312,662481,327204,335277
1998,BFA,BFA1998,1795274,883933,911341,1035664,510154,525510,683268,337539,345729
1999,BFA,BFA1999,1843525,907781,935744,1063524,523842,539682,705121,348309,356812
2000,BFA,BFA2000,1892958,932141,960817,1091191,537385,553806,728807,359830,368977
2001,BFA,BFA2001,1940855,955685,985170,1119577,551239,568338,753562,371735,381827
2002,BFA,BFA2002,1993809,981897,1011912,1143215,563153,580062,773063,381421,391642
2003,BFA,BFA2003,2052583,1010763,1041820,1170326,576570,593756,791683,390666,401017
2004,BFA,BFA2004,2115127,1041320,1073807,1200755,591458,609297,810733,400046,410687
2005,BFA,BFA2005,2178807,1072343,1106464,1234591,607901,626690,831403,410093,421310
2006,BFA,BFA2006,2240500,1102371,1138129,1271786,625901,645885,854098,421004,433094
2007,BFA,BFA2007,2307195,1135048,1172147,1305536,642588,662948,874066,430872,443194
